epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,754.83,0.45504,0.58131,0.87748,0.92727,0.91931,0.96827,0.92654,0.35048,0.43525,0.84194,0.005743,0.005743,0.005743
45,771.918,0.44515,0.56346,0.87581,0.93297,0.95028,0.98047,0.92899,0.36134,0.40797,0.84543,0.005644,0.005644,0.005644
46,789.037,0.44693,0.57127,0.87382,0.9262,0.94136,0.97771,0.92599,0.36137,0.39266,0.84401,0.005545,0.005545,0.005545
47,806.193,0.4589,0.55399,0.88182,0.92537,0.9352,0.97788,0.92812,0.36271,0.40053,0.84615,0.005446,0.005446,0.005446
48,823.28,0.44002,0.53843,0.87199,0.93016,0.93987,0.97022,0.92128,0.3431,0.39518,0.83475,0.005347,0.005347,0.005347
49,840.358,0.43224,0.53788,0.87744,0.90899,0.91757,0.972,0.91471,0.37718,0.43466,0.84803,0.005248,0.005248,0.005248
50,857.464,0.43731,0.56968,0.87788,0.92349,0.95407,0.97836,0.92575,0.35688,0.40728,0.84295,0.005149,0.005149,0.005149
51,874.611,0.42955,0.55178,0.86879,0.93112,0.9575,0.98173,0.93728,0.34317,0.38245,0.83783,0.00505,0.00505,0.00505
52,891.678,0.44029,0.52842,0.86729,0.89879,0.92207,0.97578,0.9252,0.3503,0.41067,0.83615,0.004951,0.004951,0.004951
53,908.694,0.43422,0.52352,0.8658,0.92324,0.9246,0.97512,0.93249,0.34613,0.41134,0.83617,0.004852,0.004852,0.004852
54,925.808,0.42838,0.51582,0.86717,0.93484,0.93453,0.96977,0.91921,0.3575,0.39694,0.85179,0.004753,0.004753,0.004753
55,942.794,0.43317,0.51216,0.86368,0.92858,0.94461,0.97425,0.92679,0.34814,0.36573,0.83909,0.004654,0.004654,0.004654
56,959.829,0.42964,0.5092,0.86622,0.92271,0.94143,0.97839,0.92375,0.35692,0.39482,0.83772,0.004555,0.004555,0.004555
57,976.835,0.43513,0.52211,0.87393,0.94058,0.94221,0.98328,0.93494,0.35286,0.3847,0.84031,0.004456,0.004456,0.004456
58,993.924,0.41848,0.48462,0.86396,0.9191,0.94185,0.97334,0.93103,0.34192,0.40372,0.83581,0.004357,0.004357,0.004357
